epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3647.38,0.68447,0.44246,1.07784,0.97908,0.98214,0.98068,0.87702,0.51239,0.29164,1.01836,0.000609939,0.000609939,0.000609939
43,3727.55,0.67322,0.43141,1.08125,0.97169,0.98214,0.97742,0.8554,0.50723,0.2812,1.0213,0.000597718,0.000597718,0.000597718
44,3808.23,0.64863,0.44839,1.07842,0.99285,0.98214,0.98287,0.88538,0.53942,0.27336,1.01038,0.000585497,0.000585497,0.000585497
45,3900.2,0.66624,0.40902,1.054,0.99436,0.98214,0.98191,0.86034,0.5446,0.28353,1.04134,0.000573276,0.000573276,0.000573276
46,3978.76,0.63699,0.40192,1.04118,0.97248,0.98214,0.98085,0.88018,0.51224,0.26188,0.98562,0.000561055,0.000561055,0.000561055
47,4063.61,0.66029,0.46984,1.06992,0.99368,0.98214,0.98366,0.8701,0.5296,0.27972,1.01091,0.000548834,0.000548834,0.000548834
48,4147.89,0.61786,0.40646,1.03576,0.99546,0.98214,0.9816,0.85815,0.54464,0.29677,1.03326,0.000536613,0.000536613,0.000536613
49,4235.04,0.65681,0.43482,1.07829,0.98899,0.98214,0.98159,0.85581,0.55571,0.28928,1.03817,0.000524392,0.000524392,0.000524392
50,4318.38,0.65347,0.42213,1.05476,0.98724,0.98214,0.98097,0.87227,0.53326,0.28134,1.0082,0.000512171,0.000512171,0.000512171
51,4399.05,0.65346,0.41699,1.05089,0.97217,0.98214,0.97925,0.84818,0.59268,0.28602,1.05347,0.00049995,0.00049995,0.00049995
52,4492.37,0.64791,0.38741,1.06836,0.97861,0.98214,0.98244,0.87293,0.54113,0.29119,1.02959,0.000487729,0.000487729,0.000487729
53,4577.26,0.62072,0.39048,1.05024,0.9923,0.98214,0.98139,0.87949,0.50922,0.24463,1.01829,0.000475508,0.000475508,0.000475508
54,4663.04,0.61064,0.37015,1.03698,0.99171,0.98214,0.98344,0.89028,0.51635,0.25418,1.01705,0.000463287,0.000463287,0.000463287
55,4747.09,0.61451,0.4012,1.03311,0.98984,0.98214,0.98133,0.88222,0.51934,0.24406,1.02298,0.000451066,0.000451066,0.000451066
56,4822.95,0.6308,0.40122,1.05623,0.99219,0.98214,0.98119,0.86987,0.527,0.25004,1.0028,0.000438845,0.000438845,0.000438845
57,4909.27,0.62073,0.38109,1.03949,0.99134,0.98214,0.9821,0.85967,0.57204,0.27365,1.05898,0.000426624,0.000426624,0.000426624
58,5001.34,0.64678,0.38485,1.06271,0.99247,0.98214,0.98222,0.86833,0.53622,0.25595,1.0093,0.000414403,0.000414403,0.000414403
59,5088.96,0.60853,0.37441,1.03939,0.99281,0.98214,0.98264,0.88614,0.50581,0.23835,0.99127,0.000402182,0.000402182,0.000402182
60,5174.79,0.61463,0.4326,1.04134,0.99585,0.98214,0.98436,0.91014,0.44599,0.23163,0.97776,0.000389961,0.000389961,0.000389961
61,5253.91,0.56598,0.35405,1.01612,0.99292,0.98214,0.98428,0.87735,0.5268,0.24407,1.02584,0.00037774,0.00037774,0.00037774
62,5330.13,0.57595,0.35747,1.0321,0.99241,0.98214,0.98329,0.87063,0.49592,0.22938,0.96575,0.000365519,0.000365519,0.000365519
63,5419.84,0.59002,0.36819,1.01833,0.99225,0.98214,0.98344,0.88178,0.52144,0.22244,0.99975,0.000353298,0.000353298,0.000353298
64,5501.47,0.5581,0.3436,1.01761,0.99581,0.98214,0.98344,0.88846,0.48119,0.21992,0.97763,0.000341077,0.000341077,0.000341077
65,5580.46,0.56386,0.35585,1.02186,0.99881,0.98214,0.98354,0.88305,0.50219,0.23457,0.99899,0.000328856,0.000328856,0.000328856
66,5663.78,0.55089,0.3412,0.99724,0.99591,0.98214,0.98527,0.89251,0.49844,0.22581,0.98897,0.000316635,0.000316635,0.000316635
67,5754.27,0.53957,0.32911,0.99942,0.99886,0.98214,0.9863,0.90033,0.47803,0.22127,0.98164,0.000304414,0.000304414,0.000304414
68,5831.93,0.52062,0.31808,1.00614,0.99027,0.98214,0.98445,0.88257,0.51612,0.23473,1.01235,0.000292193,0.000292193,0.000292193
69,5921.88,0.53207,0.32329,1.00198,0.99893,0.98214,0.98384,0.9026,0.46956,0.21519,0.99164,0.000279972,0.000279972,0.000279972
70,6010.49,0.54828,0.33357,1.00635,0.99561,0.98214,0.98667,0.90934,0.48021,0.20979,0.97236,0.000267751,0.000267751,0.000267751
71,6101.85,0.5188,0.31749,0.99548,0.99471,0.98214,0.98582,0.90287,0.47214,0.21505,0.96038,0.00025553,0.00025553,0.00025553
72,6184.82,0.54874,0.3332,1.00011,0.99446,0.98214,0.98391,0.90071,0.45474,0.21221,0.96711,0.000243309,0.000243309,0.000243309
73,6270.84,0.50474,0.30992,0.98534,0.99894,0.98214,0.98366,0.90131,0.46345,0.21296,0.96234,0.000231088,0.000231088,0.000231088
74,6356.84,0.5193,0.30702,0.99443,0.99899,0.98214,0.98349,0.89014,0.45866,0.21007,0.9722,0.000218867,0.000218867,0.000218867
75,6434.29,0.52657,0.32414,1.00709,0.99893,0.98214,0.98334,0.89727,0.46162,0.2147,0.97651,0.000206646,0.000206646,0.000206646
76,6519.4,0.50285,0.30444,0.98268,0.99341,0.98214,0.98349,0.91305,0.43767,0.20502,0.95376,0.000194425,0.000194425,0.000194425
77,6603.86,0.48273,0.30339,0.97914,0.99895,0.98214,0.98405,0.90702,0.43752,0.19891,0.94281,0.000182204,0.000182204,0.000182204
78,6694.2,0.52992,0.32108,1.00765,0.9989,0.98214,0.98445,0.89436,0.46231,0.20227,0.96062,0.000169983,0.000169983,0.000169983
79,6777.51,0.48212,0.29551,0.9883,0.99894,0.98214,0.98319,0.90524,0.45618,0.2116,0.96196,0.000157762,0.000157762,0.000157762
80,6863.64,0.52447,0.29909,0.98626,0.99494,0.98214,0.98436,0.89972,0.4454,0.20918,0.96024,0.000145541,0.000145541,0.000145541
81,6973.84,0.4518,0.27224,0.94699,0.99893,0.98214,0.98295,0.90856,0.44027,0.19785,0.96027,0.00013332,0.00013332,0.00013332
82,7055.51,0.40617,0.24237,0.92375,0.99892,0.98214,0.98264,0.89521,0.46409,0.20725,0.98029,0.000121099,0.000121099,0.000121099
83,7132.86,0.40774,0.23102,0.91355,0.99533,0.98214,0.98161,0.8781,0.47702,0.20581,1.00382,0.000108878,0.000108878,0.000108878
84,7224.39,0.41001,0.22646,0.91955,0.99494,0.98214,0.98204,0.89703,0.44975,0.19359,0.97981,9.6657e-05,9.6657e-05,9.6657e-05
85,7304.73,0.39662,0.22618,0.91584,0.99537,0.98214,0.98412,0.89456,0.43534,0.19324,0.97382,8.4436e-05,8.4436e-05,8.4436e-05
86,7393.21,0.37279,0.21267,0.92827,0.99586,0.98214,0.98483,0.90347,0.42565,0.18935,0.96193,7.2215e-05,7.2215e-05,7.2215e-05
87,7474.25,0.39314,0.2115,0.92229,0.99643,0.98214,0.98493,0.90803,0.42899,0.18931,0.96692,5.9994e-05,5.9994e-05,5.9994e-05
88,7564.48,0.38692,0.21288,0.91531,0.99683,0.98214,0.98527,0.91189,0.43865,0.1918,0.97891,4.7773e-05,4.7773e-05,4.7773e-05
89,7640.17,0.37471,0.20948,0.90333,0.99697,0.98214,0.98582,0.9131,0.43979,0.19567,0.97839,3.5552e-05,3.5552e-05,3.5552e-05
90,7719.87,0.37043,0.20603,0.91418,0.99738,0.98214,0.9863,0.917,0.43655,0.19209,0.978,2.3331e-05,2.3331e-05,2.3331e-05
